data_time,coin,result
2021-03-20T15:02:46Z,gold,tails
2021-03-20T15:03:48Z,silver,tails
2021-03-20T15:04:28Z,bronze,tails
2021-03-20T15:04:37Z,bronze,heads
2021-03-20T15:04:41Z,bronze,heads
2021-03-20T15:04:53Z,bronze,heads
2021-03-20T15:05:03Z,bronze,tails
2021-03-20T15:05:11Z,bronze,tails
2021-03-20T15:05:16Z,bronze,tails
2021-03-20T15:05:29Z,bronze,tails
2021-03-20T15:05:41Z,bronze,heads
2021-03-20T15:05:49Z,bronze,heads
2021-03-20T15:05:59Z,bronze,tails
2021-03-20T15:06:03Z,bronze,tails
2021-03-20T15:06:08Z,bronze,tails
2021-03-20T15:06:13Z,bronze,heads
2021-03-20T15:06:27Z,bronze,heads
2021-03-20T15:07:02Z,bronze,tails
2021-03-20T15:07:07Z,bronze,tails
2021-03-20T15:07:12Z,bronze,heads
2021-03-20T15:07:23Z,bronze,heads
2021-03-20T15:07:57Z,bronze,tails
2021-03-20T15:08:09Z,bronze,tails
2021-03-20T15:08:14Z,bronze,tails
2021-03-20T15:08:19Z,bronze,heads
2021-03-20T15:08:25Z,bronze,heads
2021-03-20T15:08:31Z,bronze,tails
2021-03-20T15:08:38Z,bronze,tails
2021-03-20T15:08:44Z,bronze,heads
2021-03-20T15:09:19Z,bronze,tails
2021-03-20T15:09:30Z,bronze,heads
2021-03-20T15:09:40Z,bronze,tails
2021-03-20T15:09:46Z,bronze,tails
2021-03-20T15:09:52Z,bronze,heads
2021-03-20T15:10:00Z,bronze,tails
2021-03-20T15:10:06Z,bronze,heads
2021-03-20T15:10:11Z,bronze,heads
2021-03-20T15:10:21Z,bronze,heads
2021-03-20T15:10:27Z,bronze,heads
2021-03-20T15:10:32Z,bronze,heads
2021-03-20T15:10:38Z,bronze,tails
2021-03-20T15:11:01Z,bronze,tails
2021-03-20T15:11:07Z,bronze,tails
2021-03-20T15:11:14Z,bronze,tails
2021-03-20T15:11:21Z,bronze,heads
2021-03-20T15:11:28Z,bronze,tails
2021-03-20T15:11:36Z,bronze,heads
2021-03-20T15:11:41Z,bronze,heads
2021-03-20T15:11:49Z,bronze,tails
2021-03-20T15:12:01Z,bronze,tails
2021-03-20T15:12:19Z,bronze,tails
2021-03-20T15:12:47Z,bronze,heads
2021-03-20T15:13:07Z,silver,tails
2021-03-20T15:13:14Z,silver,heads
2021-03-20T15:13:20Z,silver,tails
2021-03-20T15:13:25Z,silver,heads
2021-03-20T15:13:31Z,silver,heads
2021-03-20T15:13:38Z,silver,tails
2021-03-20T15:13:58Z,silver,heads
2021-03-20T15:14:06Z,silver,tails
2021-03-20T15:14:19Z,silver,tails
2021-03-20T15:14:24Z,silver,tails
2021-03-20T15:14:30Z,silver,heads
2021-03-20T15:14:36Z,silver,heads
2021-03-20T15:14:42Z,silver,heads
2021-03-20T15:14:48Z,silver,tails
2021-03-20T15:14:53Z,silver,heads
2021-03-20T15:15:00Z,silver,tails
2021-03-20T15:15:08Z,silver,heads
2021-03-20T15:15:15Z,silver,tails
2021-03-20T15:15:22Z,silver,heads
2021-03-20T15:15:28Z,silver,tails
2021-03-20T15:15:38Z,silver,heads
2021-03-20T15:15:44Z,silver,tails
2021-03-20T15:15:58Z,silver,heads
2021-03-20T15:16:10Z,silver,tails
2021-03-20T15:16:16Z,silver,tails
2021-03-20T15:16:24Z,silver,tails
2021-03-20T15:16:31Z,silver,tails
2021-03-20T15:16:38Z,silver,tails
2021-03-20T15:16:44Z,silver,heads
2021-03-20T15:17:11Z,silver,heads
2021-03-20T15:17:18Z,silver,heads
2021-03-20T15:17:24Z,silver,tails
2021-03-20T15:17:30Z,silver,heads
2021-03-20T15:17:39Z,silver,heads
2021-03-20T15:17:45Z,silver,heads
2021-03-20T15:17:52Z,silver,tails
2021-03-20T15:18:00Z,silver,heads
2021-03-20T15:18:11Z,silver,heads
2021-03-20T15:18:21Z,silver,tails
2021-03-20T15:19:02Z,silver,heads
2021-03-20T15:19:22Z,silver,heads
2021-03-20T15:19:28Z,silver,heads
2021-03-20T15:19:33Z,silver,heads
2021-03-20T15:19:39Z,silver,tails
2021-03-20T15:19:46Z,silver,heads
2021-03-20T15:19:55Z,silver,heads
2021-03-20T15:20:03Z,silver,heads
2021-03-20T15:20:08Z,silver,heads
2021-03-20T15:20:16Z,silver,tails
2021-03-20T15:21:01Z,gold,tails
2021-03-20T15:21:29Z,gold,heads
2021-03-20T15:21:48Z,gold,heads
2021-03-20T15:23:55Z,gold,heads
2021-03-20T15:24:01Z,gold,tails
2021-03-20T15:24:08Z,gold,heads
2021-03-20T15:24:12Z,gold,heads
2021-03-20T15:24:18Z,gold,tails
2021-03-20T15:24:24Z,gold,heads
2021-03-20T15:24:29Z,gold,heads
2021-03-20T15:24:34Z,gold,heads
2021-03-20T15:24:44Z,gold,heads
2021-03-20T15:24:54Z,gold,heads
2021-03-20T15:24:59Z,gold,heads
2021-03-20T15:25:05Z,gold,tails
2021-03-20T15:25:10Z,gold,tails
2021-03-20T15:25:16Z,gold,heads
2021-03-20T15:25:25Z,gold,tails
2021-03-20T15:25:37Z,gold,heads
2021-03-20T15:25:43Z,gold,tails
2021-03-20T15:25:49Z,gold,tails
2021-03-20T15:26:04Z,gold,heads
2021-03-20T15:26:09Z,gold,heads
2021-03-20T15:26:14Z,gold,heads
2021-03-20T15:26:19Z,gold,heads
2021-03-20T15:26:25Z,gold,tails
2021-03-20T15:26:31Z,gold,heads
2021-03-20T15:26:37Z,gold,tails
2021-03-20T15:26:47Z,gold,tails
2021-03-20T15:26:53Z,gold,heads
2021-03-20T15:26:59Z,gold,heads
2021-03-20T15:27:05Z,gold,tails
2021-03-20T15:27:15Z,gold,tails
2021-03-20T15:27:20Z,gold,heads
2021-03-20T15:27:26Z,gold,heads
2021-03-20T15:27:30Z,gold,heads
2021-03-20T15:27:36Z,gold,tails
2021-03-20T15:27:41Z,gold,tails
2021-03-20T15:27:46Z,gold,tails
2021-03-20T15:27:54Z,gold,tails
2021-03-20T15:27:59Z,gold,tails
2021-03-20T15:28:05Z,gold,heads
2021-03-20T15:28:11Z,gold,heads
2021-03-20T15:28:18Z,gold,tails
2021-03-20T15:28:23Z,gold,tails
2021-03-20T15:28:29Z,gold,heads
2021-03-20T15:28:34Z,gold,heads
2021-03-20T15:28:40Z,gold,tails
2021-03-20T15:28:46Z,gold,heads
2021-03-20T15:32:37Z,gold,heads
2021-03-20T15:32:48Z,gold,heads
2021-03-20T15:32:54Z,gold,tails
2021-03-20T15:32:58Z,gold,tails
2021-03-20T15:33:08Z,gold,tails
2021-03-20T15:33:17Z,gold,heads
2021-03-20T15:33:41Z,gold,tails
2021-03-20T15:33:47Z,gold,tails
2021-03-20T15:33:53Z,gold,tails
2021-03-20T15:34:04Z,gold,tails
2021-03-20T15:34:11Z,gold,heads
2021-03-20T15:34:17Z,gold,heads
2021-03-20T15:34:24Z,gold,heads
2021-03-20T15:34:44Z,gold,tails
2021-03-20T15:35:07Z,gold,tails
2021-03-20T15:35:14Z,gold,heads
2021-03-20T15:35:20Z,gold,tails
2021-03-20T15:35:25Z,gold,tails
2021-03-20T15:35:32Z,gold,tails
2021-03-20T15:35:36Z,gold,tails
2021-03-20T15:35:56Z,gold,heads
2021-03-20T15:36:03Z,gold,heads
2021-03-20T15:36:13Z,gold,tails
2021-03-20T15:36:19Z,gold,heads
2021-03-20T15:36:24Z,gold,heads
2021-03-20T15:36:29Z,gold,heads
2021-03-20T15:36:34Z,gold,tails
2021-03-20T15:36:41Z,gold,heads
2021-03-20T15:36:50Z,gold,heads
2021-03-20T15:36:57Z,gold,heads
2021-03-20T15:37:03Z,gold,heads
2021-03-20T15:37:07Z,gold,heads
2021-03-20T15:37:12Z,gold,heads
2021-03-20T15:37:16Z,gold,heads
2021-03-20T15:37:23Z,gold,tails
2021-03-20T15:37:28Z,gold,tails
2021-03-20T15:37:45Z,gold,heads
2021-03-20T15:37:55Z,gold,heads
2021-03-20T15:38:14Z,gold,heads
2021-03-20T15:38:21Z,gold,heads
2021-03-20T15:38:26Z,gold,heads
2021-03-20T15:38:33Z,gold,tails
2021-03-20T15:38:38Z,gold,tails
2021-03-20T15:38:43Z,gold,tails
2021-03-20T15:38:53Z,gold,tails
2021-03-20T15:38:58Z,gold,tails
2021-03-20T15:39:05Z,gold,heads
2021-03-20T15:39:10Z,gold,tails
2021-03-20T15:39:15Z,gold,tails
2021-03-20T15:39:24Z,gold,heads
2021-03-20T15:39:34Z,silver,heads
2021-03-20T15:39:40Z,silver,heads
2021-03-20T15:39:45Z,silver,tails
2021-03-20T15:39:50Z,silver,tails
2021-03-20T15:39:55Z,silver,tails
